run_date,code,name,rank,entry_price,exit_date,exit_price,return_pct,bench_return_pct,status
2026-07-06,5463,丸一鋼管,1,1931.50,2026-07-10,1783.50,-7.6624,-1.7010,closed
2026-07-06,9960,東テク,2,4380.00,2026-07-10,4065.00,-7.1918,-1.7010,closed
2026-07-06,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,3,338.00,2026-07-10,372.00,10.0592,-1.7010,closed
2026-07-06,8818,京阪神ビルディング,4,1162.00,2026-07-10,1162.00,0.0000,-1.7010,closed
2026-07-06,8844,コスモスイニシア,5,1446.00,2026-07-10,1397.00,-3.3887,-1.7010,closed
2026-07-07,9960,東テク,1,4300.00,2026-07-13,4040.00,-6.0465,-3.5776,closed
2026-07-07,8818,京阪神ビルディング,2,1158.00,2026-07-13,1127.00,-2.6770,-3.5776,closed
2026-07-07,4493,サイバーセキュリティクラウド,3,1949.00,2026-07-13,1875.00,-3.7968,-3.5776,closed
2026-07-07,8344,山形銀行,4,3875.00,2026-07-13,3690.00,-4.7742,-3.5776,closed
2026-07-07,5463,丸一鋼管,5,1852.50,2026-07-13,1777.00,-4.0756,-3.5776,closed
2026-07-08,3916,デジタル・インフォメーション・テクノロジー,1,940.00,2026-07-14,974.00,3.6170,-0.7522,closed
2026-07-08,3436,ＳＵＭＣＯ,2,4507.00,2026-07-14,5307.00,17.7502,-0.7522,closed
2026-07-08,5258,トランザクション・メディア・ネットワークス,3,397.00,2026-07-14,438.00,10.3275,-0.7522,closed
2026-07-08,9960,東テク,4,4150.00,2026-07-14,4030.00,-2.8916,-0.7522,closed
2026-07-08,8818,京阪神ビルディング,5,1163.00,2026-07-14,1107.00,-4.8151,-0.7522,closed
2026-07-09,3916,デジタル・インフォメーション・テクノロジー,1,921.00,2026-07-15,979.00,6.2975,2.8921,closed
2026-07-09,4722,フューチャー,2,1761.00,2026-07-15,2031.00,15.3322,2.8921,closed
2026-07-09,8818,京阪神ビルディング,3,1149.00,2026-07-15,1106.00,-3.7424,2.8921,closed
2026-07-09,8844,コスモスイニシア,4,1403.00,2026-07-15,1411.00,0.5702,2.8921,closed
2026-07-09,9960,東テク,5,4225.00,2026-07-15,4120.00,-2.4852,2.8921,closed
2026-07-10,4722,フューチャー,1,1730.00,2026-07-16,2150.00,24.2775,-1.3408,closed
2026-07-10,2734,サーラコーポレーション,2,1146.00,2026-07-16,1148.00,0.1745,-1.3408,closed
2026-07-10,1822,大豊建設,3,820.00,2026-07-16,791.00,-3.5366,-1.3408,closed
2026-07-10,4812,電通総研,4,2702.00,2026-07-16,2700.00,-0.0740,-1.3408,closed
2026-07-10,9425,ＲｅＹｕｕ　Ｊａｐａｎ,5,253.00,2026-07-16,212.00,-16.2055,-1.3408,closed
2026-07-13,1822,大豊建設,1,793.00,2026-07-17,779.00,-1.7654,-6.4422,closed
2026-07-13,9425,ＲｅＹｕｕ　Ｊａｐａｎ,2,223.00,2026-07-17,194.00,-13.0045,-6.4422,closed
2026-07-13,8008,ヨンドシーホールディングス,3,2109.00,2026-07-17,2112.00,0.1422,-6.4422,closed
2026-07-13,4812,電通総研,4,2678.00,2026-07-17,2693.00,0.5601,-6.4422,closed
