run_date,code,name,rank,score,entry_price,basis_conditions,basis_count,basis_total,ref_upper,ref_lower,ref_hold,status,close_date,close_reason
2026-08-05,2121,ＭＩＸＩ,2,8.7,3230.00,出来高が5日平均で25日平均比 +63%|25日線を上回って推移（+9.5%）|5日線>25日線で短期上向き（乖離+6.7%）|25日線>75日線で中期も上向き（乖離+7.6%）|市場平均(TOPIX)を20日で +12.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER10.7倍 ≤ 業種中央値18.4倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、サイバーセキュリティ・半導体関連のニュースと関連|直近5日 +7.9%で過熱圏未満（急騰しすぎていない）,9,9,3400.00,3013.29,5,open,,
2026-08-05,1899,福田組,3,8.4,3870.00,出来高が5日平均で25日平均比 +85%|25日線を上回って推移（+2.1%）|5日線>25日線で短期上向き（乖離+1.9%）|市場平均(TOPIX)を20日で +9.0pt上回る相対的な強さ|テーマ該当：建設・インフラ|割安圏（PER11.6倍・PBR0.71倍）|ニュース環境と接点：インフラタグが、電力関連のニュースと関連|直近5日 +0.3%で過熱圏未満（急騰しすぎていない）,8,9,3960.00,3700.00,5,open,,
2026-08-05,4722,フューチャー,4,8.3,2446.00,出来高が5日平均で25日平均比 +148%|25日線を上回って推移（+17.9%）|5日線>25日線で短期上向き（乖離+17.9%）|25日線>75日線で中期も上向き（乖離+21.2%）|市場平均(TOPIX)を20日で +48.0pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER17.6倍 ≤ 業種中央値18.4倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、サイバーセキュリティ・半導体関連のニュースと関連|直近5日 +2.7%で過熱圏未満（急騰しすぎていない）,9,9,2449.00,2264.71,5,open,,
2026-08-05,3851,日本一ソフトウェア,5,8.1,1038.00,出来高が5日平均で25日平均比 +98%|25日線を上回って推移（+13.5%）|5日線>25日線で短期上向き（乖離+11.8%）|25日線>75日線で中期も上向き（乖離+6.7%）|市場平均(TOPIX)を20日で +26.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|割安圏（PBR0.66倍）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、サイバーセキュリティ・半導体関連のニュースと関連|直近5日 -2.3%で過熱圏未満（急騰しすぎていない）,9,9,1063.00,918.29,5,open,,
2026-08-06,9507,四国電力,1,9.0,1775.50,出来高が5日平均で25日平均比 +57%|25日線を上回って推移（+13.6%）|5日線>25日線で短期上向き（乖離+10.4%）|25日線>75日線で中期も上向き（乖離+2.1%）|市場平均(TOPIX)を20日で +18.6pt上回る相対的な強さ|テーマ該当：電力・エネルギー・インフラ|割安圏（PER7.2倍・PBR0.77倍）|ニュース環境と接点：電力・エネルギー・インフラタグが、電力・原油関連のニュースと関連|直近5日 +11.7%で過熱圏未満（急騰しすぎていない）,9,9,,1683.07,5,open,,
2026-08-06,2121,ＭＩＸＩ,2,8.7,3235.00,出来高が5日平均で25日平均比 +74%|25日線を上回って推移（+9.0%）|5日線>25日線で短期上向き（乖離+7.5%）|25日線>75日線で中期も上向き（乖離+8.0%）|市場平均(TOPIX)を20日で +10.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER12.5倍 ≤ 業種中央値18.8倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・サイバーセキュリティ関連のニュースと関連|直近5日 +8.2%で過熱圏未満（急騰しすぎていない）,9,9,3400.00,3011.14,5,open,,
2026-08-06,4674,クレスコ,3,8.7,1680.00,出来高が5日平均で25日平均比 +70%|25日線を上回って推移（+7.1%）|5日線>25日線で短期上向き（乖離+5.2%）|25日線>75日線で中期も上向き（乖離+3.9%）|市場平均(TOPIX)を20日で +8.7pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER12.9倍 ≤ 業種中央値18.8倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・サイバーセキュリティ関連のニュースと関連|直近5日 +2.0%で過熱圏未満（急騰しすぎていない）,9,9,,1597.86,5,open,,
2026-08-06,6932,遠藤照明,4,8.6,2778.00,出来高が5日平均で25日平均比 +60%|25日線を上回って推移（+10.2%）|5日線>25日線で短期上向き（乖離+7.2%）|25日線>75日線で中期も上向き（乖離+1.2%）|市場平均(TOPIX)を20日で +18.4pt上回る相対的な強さ|テーマ該当：AI・DX|割安圏（PER10.0倍・PBR0.81倍）|ニュース環境と接点：AI・DXタグが、AI・米国株関連のニュースと関連|直近5日 +6.4%で過熱圏未満（急騰しすぎていない）,9,9,,2630.29,5,open,,
2026-08-06,3851,日本一ソフトウェア,5,8.4,1037.00,出来高が5日平均で25日平均比 +55%|25日線を上回って推移（+12.5%）|5日線>25日線で短期上向き（乖離+11.1%）|25日線>75日線で中期も上向き（乖離+7.3%）|市場平均(TOPIX)を20日で +24.0pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|割安圏（PBR0.66倍）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・サイバーセキュリティ関連のニュースと関連|直近5日 +2.7%で過熱圏未満（急騰しすぎていない）,9,9,1063.00,913.71,5,open,,
2026-08-07,4674,クレスコ,1,8.6,1810.00,出来高が5日平均で25日平均比 +94%|25日線を上回って推移（+14.3%）|5日線>25日線で短期上向き（乖離+7.2%）|25日線>75日線で中期も上向き（乖離+4.6%）|市場平均(TOPIX)を20日で +15.1pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER13.9倍 ≤ 業種中央値19.5倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・半導体関連のニュースと関連|直近5日 +11.9%で過熱圏未満（急騰しすぎていない）,9,9,,1711.00,5,open,,
2026-08-07,2121,ＭＩＸＩ,2,8.2,3215.00,出来高が5日平均で25日平均比 +80%|25日線を上回って推移（+7.8%）|5日線>25日線で短期上向き（乖離+8.9%）|25日線>75日線で中期も上向き（乖離+8.3%）|市場平均(TOPIX)を20日で +6.9pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER12.5倍 ≤ 業種中央値19.5倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・半導体関連のニュースと関連|直近5日 +11.0%で過熱圏未満（急騰しすぎていない）,9,9,3400.00,2985.00,5,open,,
2026-08-07,9511,沖縄電力,3,8.2,1064.00,出来高が5日平均で25日平均比 +57%|25日線を上回って推移（+11.0%）|5日線>25日線で短期上向き（乖離+12.1%）|25日線>75日線で中期も上向き（乖離+2.0%）|市場平均(TOPIX)を20日で +13.8pt上回る相対的な強さ|テーマ該当：電力・エネルギー・インフラ|割安圏（PER9.3倍・PBR0.47倍）|ニュース環境と接点：電力・エネルギー・インフラタグが、電力・原油関連のニュースと関連|直近5日 +0.9%で過熱圏未満（急騰しすぎていない）,9,9,1098.00,1001.43,5,open,,
2026-08-07,6517,デンヨー,4,7.8,4150.00,出来高が5日平均で25日平均比 +80%|25日線を上回って推移（+10.8%）|5日線>25日線で短期上向き（乖離+15.1%）|25日線>75日線で中期も上向き（乖離+2.0%）|市場平均(TOPIX)を20日で +13.0pt上回る相対的な強さ|テーマ該当：AI・DX|PER15.0倍 ≤ 業種中央値15.0倍（当社集計）|ニュース環境と接点：AI・DXタグが、AI・半導体関連のニュースと関連|直近5日 +3.4%で過熱圏未満（急騰しすぎていない）,9,9,4450.00,3777.14,5,open,,
